,top words,0,1,2,Text,Text_Processed,REFERENCE_ID,YEAR,TITLE,Text_Processed_str,category
1270,metal heavi trace sediment bioaccumul ,-2.94106,2.632676,-12.102326,Heavy metal exposure in large game from a lead mining area: Effects on oxidative stress and fatty acid composition in liver,"['heavi', 'metal', 'exposur', 'larg', 'game', 'lead', 'mine', 'area', 'effect', 'oxid', 'stress', 'fatti', 'acid', 'composit', 'liver']",514034,2009,Heavy metal exposure in large game from a lead mining area: Effects on oxidative stress and fatty acid composition in liver,heavi metal exposur larg game lead mine area effect oxid stress fatti acid composit liver,1
1274,metal heavi trace sediment bioaccumul ,4.4260244,2.346925,-13.115286,Dry atmospheric deposition rates of metals along a coastal transect in southern California,"['dri', 'atmospher', 'deposit', 'rate', 'metal', 'along', 'coastal', 'transect', 'southern', 'california']",516933,2008,Dry atmospheric deposition rates of metals along a coastal transect in southern California,dri atmospher deposit rate metal along coastal transect southern california,1
1276,metal heavi trace sediment bioaccumul ,3.07777,4.383884,-13.589497,"Heavy metals in aquatic macrophytes from two small rivers polluted by urban, agricultural and textile industry sewages SW Poland","['heavi', 'metal', 'aquat', 'macrophyt', 'two', 'small', 'river', 'pollut', 'urban', 'agricultur', 'textil', 'industri', 'sewag', 'SW', 'poland']",517564,2007,"Heavy metals in aquatic macrophytes from two small rivers polluted by urban, agricultural and textile industry sewages SW Poland",heavi metal aquat macrophyt two small river pollut urban agricultur textil industri sewag SW poland,1
1280,metal heavi trace sediment bioaccumul ,1.5761926,0.628758,-11.050242,Dendrogeochemical distinction between geogenic and anthropogenic emissions of metals and gases near a copper smelter,"['dendrogeochem', 'distinct', 'geogen', 'anthropogen', 'emiss', 'metal', 'gase', 'near', 'copper', 'smelter']",518314,2006,Dendrogeochemical distinction between geogenic and anthropogenic emissions of metals and gases near a copper smelter,dendrogeochem distinct geogen anthropogen emiss metal gase near copper smelter,1
1287,metal heavi trace sediment bioaccumul ,2.7926402,2.5410404,-9.557444,Spatial distribution and internal metal concentrations of terrestrial arthropods in a moderately contaminated lowland floodplain along the Rhine River,"['spatial', 'distribut', 'intern', 'metal', 'concentr', 'terrestri', 'arthropod', 'moder', 'contamin', 'lowland', 'floodplain', 'along', 'rhine', 'river']",518848,2008,Spatial distribution and internal metal concentrations of terrestrial arthropods in a moderately contaminated lowland floodplain along the Rhine River,spatial distribut intern metal concentr terrestri arthropod moder contamin lowland floodplain along rhine river,1
1288,metal heavi trace sediment bioaccumul ,5.657176,2.9783785,-13.611745,Vertical distribution and speciation of trace metals in weathering flotation residues of a zinc/lead sulfide mine,"['vertic', 'distribut', 'speciat', 'trace', 'metal', 'weather', 'flotat', 'residu', 'zinc/lead', 'sulfid', 'mine']",519559,2007,Vertical distribution and speciation of trace metals in weathering flotation residues of a zinc/lead sulfide mine,vertic distribut speciat trace metal weather flotat residu zinc/lead sulfid mine,1
1289,metal heavi trace sediment bioaccumul ,6.06576,9.290311,-8.121035,Influence of organic acids on the transport of heavy metals in soil,"['influenc', 'organ', 'acid', 'transport', 'heavi', 'metal', 'soil']",519569,2008,Influence of organic acids on the transport of heavy metals in soil,influenc organ acid transport heavi metal soil,1
1292,metal heavi trace sediment bioaccumul ,0.5141205,6.1117096,-13.772314,Biogeochemical reactive-diffusive transport of heavy metals in Lake Coeur d'Alene sediments,"['biogeochem', 'reactive-diffus', 'transport', 'heavi', 'metal', 'lake', 'coeur', ""d'alen"", 'sediment']",520114,2007,Biogeochemical reactive-diffusive transport of heavy metals in Lake Coeur d'Alene sediments,biogeochem reactive-diffus transport heavi metal lake coeur d'alen sediment,1
1309,metal heavi trace sediment bioaccumul ,-5.186504,2.8093364,-12.362396,Socially-mediated differences in brain monoamines in rainbow trout: Effects of trace metal contaminants,"['socially-medi', 'differ', 'brain', 'monoamin', 'rainbow', 'trout', 'effect', 'trace', 'metal', 'contamin']",522744,2005,Socially-mediated differences in brain monoamines in rainbow trout: Effects of trace metal contaminants,socially-medi differ brain monoamin rainbow trout effect trace metal contamin,1
1352,metal heavi trace sediment bioaccumul ,2.316897,5.3405266,-13.6886635,"Monitoring of atmospheric heavy metal deposition in Chongqing, China: Based on moss bag technique","['monitor', 'atmospher', 'heavi', 'metal', 'deposit', 'chongq', 'china', 'base', 'moss', 'bag', 'techniqu']",525706,2009,"Monitoring of atmospheric heavy metal deposition in Chongqing, China: Based on moss bag technique",monitor atmospher heavi metal deposit chongq china base moss bag techniqu,1
1358,metal heavi trace sediment bioaccumul ,-0.00459501,6.230578,-13.528269,Simulating the long-term chemistry of an upland UK catchment: Heavy metals,"['simul', 'long-term', 'chemistri', 'upland', 'UK', 'catchment', 'heavi', 'metal']",528281,2006,Simulating the long-term chemistry of an upland UK catchment: Heavy metals,simul long-term chemistri upland UK catchment heavi metal,1
1417,metal heavi trace sediment bioaccumul ,2.6279705,0.3800837,-11.238923,A three-step metal fractionation scheme for fly ashes collected in an Argentine thermal power plant,"['A', 'three-step', 'metal', 'fraction', 'scheme', 'fli', 'ash', 'collect', 'argentin', 'thermal', 'power', 'plant']",227959,2008,A three-step metal fractionation scheme for fly ashes collected in an Argentine thermal power plant,A three-step metal fraction scheme fli ash collect argentin thermal power plant,1
1430,metal heavi trace sediment bioaccumul ,0.5265309,6.8743606,-13.829756,Heavy metal monitoring of Rameswaram coast by some Sargassum species,"['heavi', 'metal', 'monitor', 'rameswaram', 'coast', 'sargassum', 'speci']",360289,2009,Heavy metal monitoring of Rameswaram coast by some Sargassum species,heavi metal monitor rameswaram coast sargassum speci,1
1433,metal heavi trace sediment bioaccumul ,-4.0584993,4.1507397,-13.474958,Effects of heavy metals on some proximate composition of Eichhornia crassipes,"['effect', 'heavi', 'metal', 'proxim', 'composit', 'eichhornia', 'crassip']",362595,2006,Effects of heavy metals on some proximate composition of Eichhornia crassipes,effect heavi metal proxim composit eichhornia crassip,1
1434,metal heavi trace sediment bioaccumul ,0.56619793,0.42570102,-10.462586,Bacterial density and antibiotic resistance of Aeromonas sp. in organs of metal-stressed freshwater fish Channa punctatus,"['bacteri', 'densiti', 'antibiot', 'resist', 'aeromona', 'sp', 'organ', 'metal-stress', 'freshwat', 'fish', 'channa', 'punctatu']",362964,2009,Bacterial density and antibiotic resistance of Aeromonas sp. in organs of metal-stressed freshwater fish Channa punctatus,bacteri densiti antibiot resist aeromona sp organ metal-stress freshwat fish channa punctatu,1
1437,metal heavi trace sediment bioaccumul ,5.7583084,3.623307,-13.85398,Relative sensitivity distribution of freshwater planktonic crustaceans to trace metals,"['rel', 'sensit', 'distribut', 'freshwat', 'plankton', 'crustacean', 'trace', 'metal']",365742,2009,Relative sensitivity distribution of freshwater planktonic crustaceans to trace metals,rel sensit distribut freshwat plankton crustacean trace metal,1
1452,metal heavi trace sediment bioaccumul ,-3.8470953,2.3854375,-13.364048,"Effects of exposure to heavy metals on viability, maturation, fertilization, and embryonic development of buffalo (Bubalus bubalis) oocytes in vitro","['effect', 'exposur', 'heavi', 'metal', 'viabil', 'matur', 'fertil', 'embryon', 'develop', 'buffalo', 'bubalu', 'bubali', 'oocyt', 'vitro']",384448,2010,"Effects of exposure to heavy metals on viability, maturation, fertilization, and embryonic development of buffalo (Bubalus bubalis) oocytes in vitro",effect exposur heavi metal viabil matur fertil embryon develop buffalo bubalu bubali oocyt vitro,1
1459,metal heavi trace sediment bioaccumul ,0.8400782,5.678479,-13.43101,Biodilution of heavy metals in a stream macroinvertebrate food web: Evidence from stable isotope analysis,"['biodilut', 'heavi', 'metal', 'stream', 'macroinvertebr', 'food', 'web', 'evid', 'stabl', 'isotop', 'analysi']",533987,2008,Biodilution of heavy metals in a stream macroinvertebrate food web: Evidence from stable isotope analysis,biodilut heavi metal stream macroinvertebr food web evid stabl isotop analysi,1
1466,metal heavi trace sediment bioaccumul ,3.0307457,3.6136074,-13.37043,"Historical trace metal loading to a large river recorded in the sediments of Lake St. Croix, USA","['histor', 'trace', 'metal', 'load', 'larg', 'river', 'record', 'sediment', 'lake', 'st.', 'croix', 'usa']",1262059,2010,"Historical trace metal loading to a large river recorded in the sediments of Lake St. Croix, USA",histor trace metal load larg river record sediment lake st. croix usa,1
1490,metal heavi trace sediment bioaccumul ,0.8709137,8.086113,-14.032591,Bioaccumulation of heavy metals in fish tissues of a freshwater lake of Bhopal,"['bioaccumul', 'heavi', 'metal', 'fish', 'tissu', 'freshwat', 'lake', 'bhopal']",383744,2010,Bioaccumulation of heavy metals in fish tissues of a freshwater lake of Bhopal,bioaccumul heavi metal fish tissu freshwat lake bhopal,1
1511,metal heavi trace sediment bioaccumul ,2.9670448,4.9138694,-13.700163,"Atmospheric heavy metal pollution in Aqaba City, Jordan, using Phoenix dactylifera L. leaves","['atmospher', 'heavi', 'metal', 'pollut', 'aqaba', 'citi', 'jordan', 'use', 'phoenix', 'dactylifera', 'L.', 'leav']",447182,2007,"Atmospheric heavy metal pollution in Aqaba City, Jordan, using Phoenix dactylifera L. leaves",atmospher heavi metal pollut aqaba citi jordan use phoenix dactylifera L. leav,1
1513,metal heavi trace sediment bioaccumul ,-5.2589445,2.2712252,-12.676478,"Effects of mining-derived metals on riffle-dwelling benthic fishes in Southeast Missouri, USA","['effect', 'mining-deriv', 'metal', 'riffle-dwel', 'benthic', 'fish', 'southeast', 'missouri', 'usa']",447909,2009,"Effects of mining-derived metals on riffle-dwelling benthic fishes in Southeast Missouri, USA",effect mining-deriv metal riffle-dwel benthic fish southeast missouri usa,1
1518,metal heavi trace sediment bioaccumul ,0.8048438,2.966916,-12.5600605,Sensitivity of freshwater microalgal strains (Chlorella vulgaris Beijerinck and Scenedesmus obliquus (Turpin) Kutzing) to heavy metals,"['sensit', 'freshwat', 'microalg', 'strain', 'chlorella', 'vulgari', 'beijerinck', 'scenedesmu', 'obliquu', 'turpin', 'kutz', 'heavi', 'metal']",449881,2008,Sensitivity of freshwater microalgal strains (Chlorella vulgaris Beijerinck and Scenedesmus obliquus (Turpin) Kutzing) to heavy metals,sensit freshwat microalg strain chlorella vulgari beijerinck scenedesmu obliquu turpin kutz heavi metal,1
1519,metal heavi trace sediment bioaccumul ,-1.6151515,-0.42723033,-14.557146,Responses of metallothionein and reduced glutathione in a freshwater fish Oreochromis niloticus following metal exposures,"['respons', 'metallothionein', 'reduc', 'glutathion', 'freshwat', 'fish', 'oreochromi', 'niloticu', 'follow', 'metal', 'exposur']",449902,2008,Responses of metallothionein and reduced glutathione in a freshwater fish Oreochromis niloticus following metal exposures,respons metallothionein reduc glutathion freshwat fish oreochromi niloticu follow metal exposur,1
1522,metal heavi trace sediment bioaccumul ,3.4192727,2.505505,-12.896387,"Biological and chemical characterization of metal bioavailability in sediments from Lake Roosevelt, Columbia River, Washington, USA","['biolog', 'chemic', 'character', 'metal', 'bioavail', 'sediment', 'lake', 'roosevelt', 'columbia', 'river', 'washington', 'usa']",453373,2008,"Biological and chemical characterization of metal bioavailability in sediments from Lake Roosevelt, Columbia River, Washington, USA",biolog chemic character metal bioavail sediment lake roosevelt columbia river washington usa,1
1525,metal heavi trace sediment bioaccumul ,-1.1169211,4.1835,-15.834691,Environmental impacts of heavy metal discharges from a smelter in Deule-canal sediments (Northern France): Concentration levels and chemical fractionation,"['environment', 'impact', 'heavi', 'metal', 'discharg', 'smelter', 'deule-can', 'sediment', 'northern', 'franc', 'concentr', 'level', 'chemic', 'fraction']",455235,2007,Environmental impacts of heavy metal discharges from a smelter in Deule-canal sediments (Northern France): Concentration levels and chemical fractionation,environment impact heavi metal discharg smelter deule-can sediment northern franc concentr level chemic fraction,1
1529,metal heavi trace sediment bioaccumul ,0.046069864,7.2657437,-14.221732,Relation between metal concentration in water and metal content of marine mussels (Mytilus galloprovincialis): Impact of physiology,"['relat', 'metal', 'concentr', 'water', 'metal', 'content', 'marin', 'mussel', 'mytilu', 'galloprovinciali', 'impact', 'physiolog']",458378,2008,Relation between metal concentration in water and metal content of marine mussels (Mytilus galloprovincialis): Impact of physiology,relat metal concentr water metal content marin mussel mytilu galloprovinciali impact physiolog,1
1557,metal heavi trace sediment bioaccumul ,-1.2847327,-1.9036355,-10.205827,Adrenocortical response to stress and thyroid hormone status in free-living nestling white storks (Ciconia ciconia) exposed to heavy metal and arsenic contamination,"['adrenocort', 'respons', 'stress', 'thyroid', 'hormon', 'statu', 'free-liv', 'nestl', 'white', 'stork', 'ciconia', 'ciconia', 'expos', 'heavi', 'metal', 'arsen', 'contamin']",451191,2006,Adrenocortical response to stress and thyroid hormone status in free-living nestling white storks (Ciconia ciconia) exposed to heavy metal and arsenic contamination,adrenocort respons stress thyroid hormon statu free-liv nestl white stork ciconia ciconia expos heavi metal arsen contamin,1
1565,metal heavi trace sediment bioaccumul ,1.56512,2.7608511,-10.95703,"Feeding of the willow leaf beetle Lochmaea capreae L. (Coleoptera, Chrysomelidae) on leaves of birch (Betula pendula Roth) contaminated by heavy metals","['feed', 'willow', 'leaf', 'beetl', 'lochmaea', 'caprea', 'L.', 'coleoptera', 'chrysomelida', 'leav', 'birch', 'betula', 'pendula', 'roth', 'contamin', 'heavi', 'metal']",543448,2004,"Feeding of the willow leaf beetle Lochmaea capreae L. (Coleoptera, Chrysomelidae) on leaves of birch (Betula pendula Roth) contaminated by heavy metals",feed willow leaf beetl lochmaea caprea L. coleoptera chrysomelida leav birch betula pendula roth contamin heavi metal,1
1571,metal heavi trace sediment bioaccumul ,6.7146177,4.6334205,-14.370707,Critical loads of metals and other trace elements to terrestrial environments,"['critic', 'load', 'metal', 'trace', 'element', 'terrestri', 'environ']",405955,2007,Critical loads of metals and other trace elements to terrestrial environments,critic load metal trace element terrestri environ,1
1574,metal heavi trace sediment bioaccumul ,-3.3390384,3.2077603,-12.105757,Experimentally induced effects of heavy metal on microbial activity and community structure of forest mor layers,"['experiment', 'induc', 'effect', 'heavi', 'metal', 'microbi', 'activ', 'commun', 'structur', 'forest', 'mor', 'layer']",447295,2007,Experimentally induced effects of heavy metal on microbial activity and community structure of forest mor layers,experiment induc effect heavi metal microbi activ commun structur forest mor layer,1
1576,metal heavi trace sediment bioaccumul ,6.162009,7.55905,-7.6187057,Mobility of heavy metals from soil into hot pepper fruits: A field study,"['mobil', 'heavi', 'metal', 'soil', 'hot', 'pepper', 'fruit', 'A', 'field', 'studi']",448959,2009,Mobility of heavy metals from soil into hot pepper fruits: A field study,mobil heavi metal soil hot pepper fruit A field studi,1
1591,metal heavi trace sediment bioaccumul ,1.4956249,0.43760148,-11.973706,Metal concentrations in edible mushrooms following municipal sludge application on forest land,"['metal', 'concentr', 'edibl', 'mushroom', 'follow', 'municip', 'sludg', 'applic', 'forest', 'land']",452722,2006,Metal concentrations in edible mushrooms following municipal sludge application on forest land,metal concentr edibl mushroom follow municip sludg applic forest land,1
1593,metal heavi trace sediment bioaccumul ,6.654179,3.6461263,-14.217543,Atmospheric trace metal concentrations at Norwegian background sites during 25 years and its relation to European emissions,"['atmospher', 'trace', 'metal', 'concentr', 'norwegian', 'background', 'site', 'year', 'relat', 'european', 'emiss']",452998,2008,Atmospheric trace metal concentrations at Norwegian background sites during 25 years and its relation to European emissions,atmospher trace metal concentr norwegian background site year relat european emiss,1
1594,metal heavi trace sediment bioaccumul ,1.70847,0.38064897,-10.899564,"Molting as a mechanism of depuration of metals in the fiddler crab, Uca pugnax","['molt', 'mechan', 'depur', 'metal', 'fiddler', 'crab', 'uca', 'pugnax']",453053,2007,"Molting as a mechanism of depuration of metals in the fiddler crab, Uca pugnax",molt mechan depur metal fiddler crab uca pugnax,1
1596,metal heavi trace sediment bioaccumul ,1.2170734,1.2213004,-11.443961,Bridging the gap between ancient metal pollution and contemporary biogeochemistry,"['bridg', 'gap', 'ancient', 'metal', 'pollut', 'contemporari', 'biogeochemistri']",453880,2008,Bridging the gap between ancient metal pollution and contemporary biogeochemistry,bridg gap ancient metal pollut contemporari biogeochemistri,1
1618,metal heavi trace sediment bioaccumul ,2.3488467,3.1501505,-9.760044,Resuspension of contaminated field and formulated reference sediments Part I: Evaluation of metal release under controlled laboratory conditions,"['resuspens', 'contamin', 'field', 'formul', 'refer', 'sediment', 'part', 'I', 'evalu', 'metal', 'releas', 'control', 'laboratori', 'condit']",457806,2008,Resuspension of contaminated field and formulated reference sediments Part I: Evaluation of metal release under controlled laboratory conditions,resuspens contamin field formul refer sediment part I evalu metal releas control laboratori condit,1
1624,metal heavi trace sediment bioaccumul ,-4.5597878,3.0955727,-13.030991,"Effects of the heavy metals Cu2+, Ni2+, Pb2+, and Zn2+ on some physiological parameters of the lichen Usnea amblyoclada","['effect', 'heavi', 'metal', 'cu2+', 'ni2+', 'pb2+', 'zn2+', 'physiolog', 'paramet', 'lichen', 'usnea', 'amblyoclada']",458223,2007,"Effects of the heavy metals Cu2+, Ni2+, Pb2+, and Zn2+ on some physiological parameters of the lichen Usnea amblyoclada",effect heavi metal cu2+ ni2+ pb2+ zn2+ physiolog paramet lichen usnea amblyoclada,1
1634,metal heavi trace sediment bioaccumul ,1.4689507,0.9068918,-11.245616,Biological significance of metals partitioned to subcellular fractions within earthworms (Aporrectodea caliginosa),"['biolog', 'signific', 'metal', 'partit', 'subcellular', 'fraction', 'within', 'earthworm', 'aporrectodea', 'caliginosa']",532021,2006,Biological significance of metals partitioned to subcellular fractions within earthworms (Aporrectodea caliginosa),biolog signific metal partit subcellular fraction within earthworm aporrectodea caliginosa,1
1636,metal heavi trace sediment bioaccumul ,3.4433267,4.383614,-16.512283,The origin of speciation: Trace metal kinetics over natural water/sediment interfaces and the consequences for bioaccumulation,"['the', 'origin', 'speciat', 'trace', 'metal', 'kinet', 'natur', 'water/sedi', 'interfac', 'consequ', 'bioaccumul']",532143,2009,The origin of speciation: Trace metal kinetics over natural water/sediment interfaces and the consequences for bioaccumulation,the origin speciat trace metal kinet natur water/sedi interfac consequ bioaccumul,1
1662,metal heavi trace sediment bioaccumul ,6.095785,4.763495,-14.437487,Atmospheric trace metals over the Atlantic and South Indian Oceans: Investigation of metal concentrations and lead isotope ratios in coastal and remote marine aerosols,"['atmospher', 'trace', 'metal', 'atlant', 'south', 'indian', 'ocean', 'investig', 'metal', 'concentr', 'lead', 'isotop', 'ratio', 'coastal', 'remot', 'marin', 'aerosol']",535709,2006,Atmospheric trace metals over the Atlantic and South Indian Oceans: Investigation of metal concentrations and lead isotope ratios in coastal and remote marine aerosols,atmospher trace metal atlant south indian ocean investig metal concentr lead isotop ratio coastal remot marin aerosol,1
1665,metal heavi trace sediment bioaccumul ,6.9586515,5.059077,-14.596806,Urban environmental geochemistry of trace metals,"['urban', 'environment', 'geochemistri', 'trace', 'metal']",535933,2006,Urban environmental geochemistry of trace metals,urban environment geochemistri trace metal,1
1674,metal heavi trace sediment bioaccumul ,6.136299,7.5617332,-7.5394564,Biotransfer of heavy metals along a soil-plant-insect-chicken food chain: Field study,"['biotransf', 'heavi', 'metal', 'along', 'soil-plant-insect-chicken', 'food', 'chain', 'field', 'studi']",540586,2009,Biotransfer of heavy metals along a soil-plant-insect-chicken food chain: Field study,biotransf heavi metal along soil-plant-insect-chicken food chain field studi,1
1682,metal heavi trace sediment bioaccumul ,1.139495,5.961542,-11.619804,Heavy metal bioaccumulation by the organs of Phragmites australis (common reed) and their potential use as contamination indicators,"['heavi', 'metal', 'bioaccumul', 'organ', 'phragmit', 'australi', 'common', 'reed', 'potenti', 'use', 'contamin', 'indic']",552881,2010,Heavy metal bioaccumulation by the organs of Phragmites australis (common reed) and their potential use as contamination indicators,heavi metal bioaccumul organ phragmit australi common reed potenti use contamin indic,1
1685,metal heavi trace sediment bioaccumul ,2.1751034,5.1942782,-16.963512,The impacts of metals and metalloids on insect behavior,"['the', 'impact', 'metal', 'metalloid', 'insect', 'behavior']",626539,2010,The impacts of metals and metalloids on insect behavior,the impact metal metalloid insect behavior,1
1704,metal heavi trace sediment bioaccumul ,2.0809865,4.9808545,-16.708826,"Fluxes of heavy metals from a highly polluted watershed during flood events: A case study of the Litavka River, Czech Republic","['flux', 'heavi', 'metal', 'highli', 'pollut', 'watersh', 'flood', 'event', 'A', 'case', 'studi', 'litavka', 'river', 'czech', 'republ']",538837,2009,"Fluxes of heavy metals from a highly polluted watershed during flood events: A case study of the Litavka River, Czech Republic",flux heavi metal highli pollut watersh flood event A case studi litavka river czech republ,1
1713,metal heavi trace sediment bioaccumul ,0.24264936,21.29843,-7.1741295,Assessment of toxic interactions of heavy metals and their effects on accumulation in tissues of freshwater fish,"['assess', 'toxic', 'interact', 'heavi', 'metal', 'effect', 'accumul', 'tissu', 'freshwat', 'fish']",542936,2007,Assessment of toxic interactions of heavy metals and their effects on accumulation in tissues of freshwater fish,assess toxic interact heavi metal effect accumul tissu freshwat fish,1
1722,metal heavi trace sediment bioaccumul ,3.7972157,2.2361243,-12.924728,"Evaluation of trace metal contents of some wild edible mushrooms from Black Sea region, Turkey","['evalu', 'trace', 'metal', 'content', 'wild', 'edibl', 'mushroom', 'black', 'sea', 'region', 'turkey']",547983,2008,"Evaluation of trace metal contents of some wild edible mushrooms from Black Sea region, Turkey",evalu trace metal content wild edibl mushroom black sea region turkey,1
1734,metal heavi trace sediment bioaccumul ,2.4532158,2.1563218,-9.624934,Bioaccumulation and depuration of metals in blue crabs (Callinectes sapidus Rathbun) from a contaminated and clean estuary,"['bioaccumul', 'depur', 'metal', 'blue', 'crab', 'callinect', 'sapidu', 'rathbun', 'contamin', 'clean', 'estuari']",581413,2010,Bioaccumulation and depuration of metals in blue crabs (Callinectes sapidus Rathbun) from a contaminated and clean estuary,bioaccumul depur metal blue crab callinect sapidu rathbun contamin clean estuari,1
1738,metal heavi trace sediment bioaccumul ,0.8231224,2.7977672,-12.441397,Breast tumours strongly accumulate transition metals,"['breast', 'tumour', 'strongli', 'accumul', 'transit', 'metal']",595078,2007,Breast tumours strongly accumulate transition metals,breast tumour strongli accumul transit metal,1
1758,metal heavi trace sediment bioaccumul ,-0.034992676,19.095825,-8.145043,The effects of some boron compounds against heavy metal toxicity in human blood,"['the', 'effect', 'boron', 'compound', 'heavi', 'metal', 'toxic', 'human', 'blood']",633763,2011,The effects of some boron compounds against heavy metal toxicity in human blood,the effect boron compound heavi metal toxic human blood,1
1779,metal heavi trace sediment bioaccumul ,6.0127697,-4.3634124,-11.314438,Heavy metal assessment of some eye shadow products imported into Nigeria from China,"['heavi', 'metal', 'assess', 'eye', 'shadow', 'product', 'import', 'nigeria', 'china']",677656,2010,Heavy metal assessment of some eye shadow products imported into Nigeria from China,heavi metal assess eye shadow product import nigeria china,1
1782,metal heavi trace sediment bioaccumul ,6.013428,-4.3599973,-11.32672,Heavy metal assessment of some soft plastic toys imported into Nigeria from China,"['heavi', 'metal', 'assess', 'soft', 'plastic', 'toy', 'import', 'nigeria', 'china']",677660,2010,Heavy metal assessment of some soft plastic toys imported into Nigeria from China,heavi metal assess soft plastic toy import nigeria china,1
1784,metal heavi trace sediment bioaccumul ,0.43798015,18.944254,-5.450153,Role of Aloe barbadensis Linn in the removal of toxic heavy metal of Kukkutandatwak (shell of hen's egg): A drug used in Indian system of medicine (Ayurveda),"['role', 'alo', 'barbadensi', 'linn', 'remov', 'toxic', 'heavi', 'metal', 'kukkutandatwak', 'shell', 'hen', ""'s"", 'egg', 'A', 'drug', 'use', 'indian', 'system', 'medicin', 'ayurveda']",677662,2009,Role of Aloe barbadensis Linn in the removal of toxic heavy metal of Kukkutandatwak (shell of hen's egg): A drug used in Indian system of medicine (Ayurveda),role alo barbadensi linn remov toxic heavi metal kukkutandatwak shell hen 's egg A drug use indian system medicin ayurveda,1
1796,metal heavi trace sediment bioaccumul ,0.5613067,6.163565,-13.790916,Determination of heavy metal content in wild-edible mushroom from Jordan,"['determin', 'heavi', 'metal', 'content', 'wild-ed', 'mushroom', 'jordan']",759339,2011,Determination of heavy metal content in wild-edible mushroom from Jordan,determin heavi metal content wild-ed mushroom jordan,1
1800,metal heavi trace sediment bioaccumul ,1.0109732,3.0795708,-11.525263,Evaluation of approaches to calculate critical metal loads for forest ecosystems,"['evalu', 'approach', 'calcul', 'critic', 'metal', 'load', 'forest', 'ecosystem']",546097,2009,Evaluation of approaches to calculate critical metal loads for forest ecosystems,evalu approach calcul critic metal load forest ecosystem,1
1801,metal heavi trace sediment bioaccumul ,1.6073322,5.630725,-16.269062,The impact of phosphate mine tailings on the bioaccumulation of heavy metals in marine fish and crustaceans from the coastal zone of Togo,"['the', 'impact', 'phosphat', 'mine', 'tail', 'bioaccumul', 'heavi', 'metal', 'marin', 'fish', 'crustacean', 'coastal', 'zone', 'togo']",546450,2006,The impact of phosphate mine tailings on the bioaccumulation of heavy metals in marine fish and crustaceans from the coastal zone of Togo,the impact phosphat mine tail bioaccumul heavi metal marin fish crustacean coastal zone togo,1
1810,metal heavi trace sediment bioaccumul ,0.60165465,5.015583,-13.522445,Metal intracellular partitioning as a detoxification mechanism for mummichogs (Fundulus heteroclitus) living in metal-polluted salt marshes,"['metal', 'intracellular', 'partit', 'detoxif', 'mechan', 'mummichog', 'fundulu', 'heteroclitu', 'live', 'metal-pollut', 'salt', 'marsh']",562902,2010,Metal intracellular partitioning as a detoxification mechanism for mummichogs (Fundulus heteroclitus) living in metal-polluted salt marshes,metal intracellular partit detoxif mechan mummichog fundulu heteroclitu live metal-pollut salt marsh,1
1818,metal heavi trace sediment bioaccumul ,2.6464014,1.496864,-9.066252,Baseflow and stormflow metal concentrations in streams draining contaminated peat moorlands in the Peak District National Park (UK),"['baseflow', 'stormflow', 'metal', 'concentr', 'stream', 'drain', 'contamin', 'peat', 'moorland', 'peak', 'district', 'nation', 'park', 'UK']",582492,2007,Baseflow and stormflow metal concentrations in streams draining contaminated peat moorlands in the Peak District National Park (UK),baseflow stormflow metal concentr stream drain contamin peat moorland peak district nation park UK,1
1831,metal heavi trace sediment bioaccumul ,4.578658,2.9661136,-13.368353,"Bioavailability of trace metals to aquatic microorganisms: Importance of chemical, biological and physical processes on biouptake","['bioavail', 'trace', 'metal', 'aquat', 'microorgan', 'import', 'chemic', 'biolog', 'physic', 'process', 'biouptak']",684226,2006,"Bioavailability of trace metals to aquatic microorganisms: Importance of chemical, biological and physical processes on biouptake",bioavail trace metal aquat microorgan import chemic biolog physic process biouptak,1
1833,metal heavi trace sediment bioaccumul ,0.7880475,2.589611,-12.776666,Concentrations of nutrients and heavy metals in cyclone fly ash from the grate-fired boiler at a small municipal district heating plant (6 MW),"['concentr', 'nutrient', 'heavi', 'metal', 'cyclon', 'fli', 'ash', 'grate-fir', 'boiler', 'small', 'municip', 'district', 'heat', 'plant', 'MW']",684230,2007,Concentrations of nutrients and heavy metals in cyclone fly ash from the grate-fired boiler at a small municipal district heating plant (6 MW),concentr nutrient heavi metal cyclon fli ash grate-fir boiler small municip district heat plant MW,1
1854,metal heavi trace sediment bioaccumul ,1.0280979,8.305419,-14.086105,UK heavy metal monitoring network,"['UK', 'heavi', 'metal', 'monitor', 'network']",689857,2006,UK heavy metal monitoring network,UK heavi metal monitor network,1
1878,metal heavi trace sediment bioaccumul ,6.1705337,7.466596,-7.623607,Heavy metals in Dutch field soils: An experimental and theoretical study on equilibrium partitioning,"['heavi', 'metal', 'dutch', 'field', 'soil', 'An', 'experiment', 'theoret', 'studi', 'equilibrium', 'partit']",703050,1998,Heavy metals in Dutch field soils: An experimental and theoretical study on equilibrium partitioning,heavi metal dutch field soil An experiment theoret studi equilibrium partit,1
1902,metal heavi trace sediment bioaccumul ,-1.2374824,4.2631273,-15.867079,"Blood heavy metal levels in cows at slaughter at awka abattoir, Nigeria","['blood', 'heavi', 'metal', 'level', 'cow', 'slaughter', 'awka', 'abattoir', 'nigeria']",723524,2010,"Blood heavy metal levels in cows at slaughter at awka abattoir, Nigeria",blood heavi metal level cow slaughter awka abattoir nigeria,1
